startTime	endTime	startLong	startLat	endLong	endLat	startX	startY	endX	endY	continuedTime	trans_pattern	fileName
1510200602.0	1510200622.0	113.9365237	22.53532172	113.9365237	22.53532172	493354.4338	2493109.451	493377.766	2493114.421	20	8.0	Newlhj_1109_2.txt
1510200623.0	1510203594.0	113.9365237	22.53532172	113.93662	22.535202	493378.1766	2493114.083	493380.9349	2493111.858	2932	7.0	Newlhj_1109_2.txt
1510203595.0	1510203615.0	113.93662	22.535202	113.93662	22.535202	493380.7039	2493111.7090000003	493378.9435	2493114.112	21	8.0	Newlhj_1109_2.txt
1510203616.0	1510204050.0	113.93662	22.535202	113.93857959999998	22.52657308	493426.8741	2493123.075	493628.0676	2492167.454	418	2.0	Newlhj_1109_2.txt
1522644130.0	1522644423.0	113.933398	22.528007	113.9381963	22.53388835	493095.0625	2492326.5	493588.9688	2492977.5	291	2.0	newmk_402.txt
1522644424.0	1522645500.0	113.9382039	22.5338973	113.93806399999998	22.533878	493589.75	2492978.5	493575.3438	2492976.5	1074	1.0	newmk_402.txt
1522645501.0	1522645706.0	113.93806399999998	22.533878	113.936716	22.534933	493575.3438	2492976.5	493436.75	2493093.25	206	2.0	newmk_402.txt
1522645707.0	1522645896.0	113.936706	22.53493788	113.936649	22.535208	493435.7188	2493093.75	493429.8438	2493123.75	189	1.0	newmk_402.txt
1522645897.0	1522645921.0	113.936649	22.535208	113.9368102	22.53513102	493364.1082	2493109.821	493380.1263	2493110.031	25	8.0	newmk_402.txt
1522645922.0	1522659352.0	113.9368102	22.53513265	113.93662759999998	22.53550646	493380.4988	2493109.917	493381.0647	2493110.105	12302	7.0	newmk_402.txt
1522659353.0	1522659397.0	113.93662759999998	22.53550646	113.9366295	22.53549371	493381.2063	2493109.985	493355.2934	2493136.8340000003	45	8.0	newmk_402.txt
1522659398.0	1522660398.0	113.9366295	22.53549371	113.93337920000002	22.52813314	493427.875	2493155.5	493093.1563	2492340.5	998	2.0	newmk_402.txt
1522660399.0	1522667461.0	113.933377	22.52813205	113.9333417	22.52801432	493092.9063	2492340.25	493089.2813	2492327.25	2372	1.0	newmk_402.txt
1522667478.0	1522667930.0	113.9333938	22.52804959	113.9335324	22.5266059	493094.6563	2492331.25	493108.8438	2492171.25	70	2.0	newmk_402.txt
1522667931.0	1522693473.0	113.9332785	22.52656548	113.9333122	22.52804877	493082.7188	2492166.75	493086.25	2492331.0	16481	1.0	newmk_402.txt
1522828948.0	1522829102.0	113.9345039	22.53435221	113.9326926	22.52777072	493209.1563	2493029.0	493022.5	2492300.25	154	4.0	zth_404_3.txt
1522829103.0	1522829363.0	113.9326899	22.52777398	113.9330656	22.52665961	493022.2188	2492300.75	493060.8125	2492177.25	260	2.0	zth_404_3.txt
1522829364.0	1522831599.0	113.933074	22.5266664	113.9319794	22.52225559	493061.6875	2492178.0	492948.8438	2491689.75	2229	1.0	zth_404_3.txt
1522831600.0	1522832085.0	113.9319794	22.52225559	113.9332487	22.52490967	492948.8438	2491689.75	493079.5625	2491983.5	484	2.0	zth_404_3.txt
1522832086.0	1522832495.0	113.9332484	22.52490967	113.933195	22.5250236	493079.5313	2491983.5	493074.0313	2491996.0	409	1.0	zth_404_3.txt
1522832496.0	1522832661.0	113.9331947	22.52502387	113.9329731	22.52606662	493074.0	2491996.25	493051.25	2492111.5	165	2.0	zth_404_3.txt
1522832662.0	1522836063.0	113.9329888	22.52607558	113.9333862	22.52392198	493052.875	2492112.5	493093.6563	2491874.0	3391	1.0	zth_404_3.txt
1522836064.0	1522836232.0	113.9333862	22.52392198	113.9352528	22.52422743	493093.6563	2491874.0	493285.7188	2491907.75	169	2.0	zth_404_3.txt
1522836233.0	1522847280.0	113.9352528	22.52422743	113.9353399	22.52435004	493285.7188	2491907.75	493294.6563	2491921.5	212	1.0	zth_404_3.txt
1510017024.0	1510017152.0	113.93653700000002	22.534905	113.93633899999999	22.53509	493418.3125	2493090.25	493397.9688	2493110.75	129	1.0	czp_1112.txt
1510017153.0	1510017179.0	113.93633899999999	22.53509	113.9365435	22.53503635	493353.706	2493117.0730000003	493363.3038	2493146.641	26	8.0	czp_1112.txt
1510017180.0	1510021034.0	113.9365435	22.53503635	113.93638899999999	22.535132	493363.0053	2493146.576	493360.6245	2493145.559	3848	7.0	czp_1112.txt
1510021035.0	1510021093.0	113.93638899999999	22.535132	113.93650900000002	22.535137	493364.5928	2493145.005	493365.9777	2493122.031	59	8.0	czp_1112.txt
1510021094.0	1510021264.0	113.93650900000002	22.535137	113.93650900000002	22.535137	493415.4375	2493116.0	493415.4375	2493116.0	170	1.0	czp_1112.txt
1510021265.0	1510021405.0	113.93650900000002	22.535137	113.93638700000001	22.535078	493356.8897	2493116.6780000003	493361.2698	2493143.551	141	8.0	czp_1112.txt
1510021406.0	1510025853.0	113.93638700000001	22.535078	113.936403	22.535145	493361.1969	2493143.526	493365.4462	2493146.925	4438	7.0	czp_1112.txt
1510025854.0	1510025972.0	113.936403	22.535145	113.93633500000001	22.535047	493365.5795	2493147.04	493384.0728	2493148.402	119	8.0	czp_1112.txt
1510025973.0	1510026021.0	113.93633500000001	22.535047	113.93644599999999	22.535049	493383.9271	2493148.281	493382.1718	2493146.527	49	7.0	czp_1112.txt
1510026022.0	1510026036.0	113.93644599999999	22.535049	113.93644599999999	22.535049	493382.1908	2493146.568	493381.5615	2493145.449	15	8.0	czp_1112.txt
1510026037.0	1510026269.0	113.93644599999999	22.535049	113.9365183	22.53474637	493408.9688	2493106.25	493416.375	2493072.5	232	2.0	czp_1112.txt
1510026270.0	1510026438.0	113.93650819999999	22.53471761	113.93703500000001	22.53012316	493415.3438	2493069.5	493469.3438	2492560.75	169	4.0	czp_1112.txt
1510026439.0	1510026800.0	113.93703020000001	22.53013319	113.93706	22.52991482	493468.8438	2492561.75	493471.875	2492537.5	361	1.0	czp_1112.txt
1510026801.0	1510027149.0	113.93706	22.52991482	113.931426	22.527735	493471.875	2492537.5	492892.1875	2492296.5	349	2.0	czp_1112.txt
1510027150.0	1510027180.0	113.931426	22.527735	113.93113799999999	22.527581	492892.1875	2492296.5	492862.5625	2492279.5	31	1.0	czp_1112.txt
1510027181.0	1510027181.0	113.93113799999999	22.527581	113.93113799999999	22.527581	492862.5625	2492279.5	492862.5625	2492279.5	1	2.0	czp_1112.txt
1510027182.0	1510027385.0	113.93113799999999	22.527581	113.92941429999999	22.53036757	492862.5625	2492279.5	492685.375	2492588.0	203	1.0	czp_1112.txt
