Time	Long	Lat	X	Y	Ax	Ay	Az	time	A1	A2	A3	A4	A5
1510297914	113.93636799999999	22.535014	380	448	-0.3811943	0.51958853	-9.621685000000001	2017/11/10 15:11	493400.9375	2493102.25	493380.6153475547	2493147.2038420197	3
1510297915	113.93636799999999	22.535014	380	448	-0.37969205	0.52334416	-9.619621	2017/11/10 15:11	493400.9375	2493102.25	493380.79523706617	2493147.3837320576	3
1510297916	113.93636799999999	22.535014	380	448	-0.38270375	0.517884	-9.620455	2017/11/10 15:11	493400.9375	2493102.25	493380.71801320213	2493147.30650867	3
1510297917	113.93636799999999	22.535014	380	448	-0.37856537	0.5169596	-9.626005000000001	2017/11/10 15:11	493400.9375	2493102.25	493380.6496033826	2493147.2380992817	3
1510297918	113.93636799999999	22.535014	380	448	-0.38382322	0.52090305	-9.627507000000001	2017/11/10 15:11	493400.9375	2493102.25	493380.75817235734	2493147.3466686467	3
1510297919	113.93636799999999	22.535014	380	448	-0.37920454	0.5200941	-9.623771000000001	2017/11/10 15:11	493400.9375	2493102.25	493380.61988175364	2493147.208378396	3
1510297920	113.93636799999999	22.535014	380	448	-0.3811943	0.5212786	-9.623001	2017/11/10 15:12	493400.9375	2493102.25	493380.75440962624	2493147.3429065878	3
1510297921	113.93636799999999	22.535014	380	448	-0.38382322	0.5194007	-9.624127	2017/11/10 15:12	493400.9375	2493102.25	493380.8111333444	2493147.399630595	3
1510297923	113.93636799999999	22.535014	380	448	-0.38307208	0.518989	-9.632610000000001	2017/11/10 15:12	493400.9375	2493102.25	493380.66480157094	2493147.253299083	3
1510297924	113.93636799999999	22.535014	380	448	-0.37950426	0.51996404	-9.624128	2017/11/10 15:12	493400.9375	2493102.25	493380.6806311082	2493147.269128857	3
1510297925	113.93636799999999	22.535014	380	448	-0.38307208	0.5212786	-9.628822	2017/11/10 15:12	493400.9375	2493102.25	493380.7128252862	2493147.301323249	3
1510297926	113.93636799999999	22.535014	380	448	-0.37883618	0.5151215	-9.619719	2017/11/10 15:12	493400.9375	2493102.25	493380.5552589483	2493147.143757105	3
1510297927	113.93636799999999	22.535014	380	448	-0.38081872	0.5169596	-9.619433	2017/11/10 15:12	493400.9375	2493102.25	493380.45860955643	2493147.0471078884	3
1510297928	113.93636799999999	22.535014	380	448	-0.38063094	0.5173350999999999	-9.616615	2017/11/10 15:12	493400.9375	2493102.25	493380.5225558302	2493147.111054321	3
1510297928	113.93636799999999	22.535014	380	448	-0.38513768	0.52221745	-9.621497	2017/11/10 15:12	493400.9375	2493102.25	493380.3534121115	2493146.941910746	3
1510297930	113.93636799999999	22.535014	380	448	-0.38399294	0.5250667	-9.620087	2017/11/10 15:12	493400.9375	2493102.25	493380.38259451365	2493146.971093278	3
1510297931	113.93636799999999	22.535014	380	448	-0.3821332	0.52278084	-9.625067	2017/11/10 15:12	493400.9375	2493102.25	493380.4375367223	2493147.026035604	3
1510297932	113.93636799999999	22.535014	380	448	-0.38419876	0.5178984999999999	-9.629574	2017/11/10 15:12	493400.9375	2493102.25	493380.3681870166	2493146.956686005	3
1510297933	113.93636799999999	22.535014	380	448	-0.38232097	0.522593	-9.621121	2017/11/10 15:12	493400.9375	2493102.25	493380.3257565119	2493146.914255596	3
1510297934	113.93636799999999	22.535014	380	448	-0.38104624	0.52083075	-9.624323	2017/11/10 15:12	493400.9375	2493102.25	493380.2264352737	2493146.814934445	3
1510297935	113.93636799999999	22.535014	380	448	-0.384011	0.51827407	-9.624504	2017/11/10 15:12	493400.9375	2493102.25	493380.35388415685	2493146.942383407	3
1510297936	113.93636799999999	22.535014	380	448	-0.3828843	0.52165407	-9.622062	2017/11/10 15:12	493400.9375	2493102.25	493380.239870484	2493146.8283698056	3
1510297937	113.93636799999999	22.535014	380	448	-0.38178290000000004	0.5217516	-9.619902	2017/11/10 15:12	493400.9375	2493102.25	493380.19347915414	2493146.7819785406	3
1510297938	113.93636799999999	22.535014	380	448	-0.38081872	0.520903	-9.6239395	2017/11/10 15:12	493400.9375	2493102.25	493380.21168148186	2493146.8001809265	3
1510297939	113.93636799999999	22.535014	380	448	-0.38438654	0.51827407	-9.617929	2017/11/10 15:12	493400.9375	2493102.25	493380.33393035573	2493146.922429853	3
